       	gene_id 	go_terms
   129 	g16223  	GO:0005049(PANTHER)|GO:0005049(InterPro)|GO:0005643(PANTHER)|GO:0005737(PANTHER)|GO:0006611(PANTHER)|GO:0051169(InterPro)
   132 	g35375  	GO:0006511(PANTHER)|GO:0061630(PANTHER)
   133 	g35381  	GO:0006511(PANTHER)|GO:0061630(PANTHER)
   134 	g6352   	GO:0003677(InterPro)
   147 	g12862  	GO:0004386(InterPro)
   149 	g36944  	GO:0005524(InterPro)
   153 	g7212   	GO:0006631(PANTHER)|GO:0031956(PANTHER)
   154 	g14870  	GO:0046034(InterPro)|GO:1902600(InterPro)
   163 	g24410  	GO:0046983(InterPro)
   165 	g10324  	GO:0016491(InterPro)
   169 	g1394   	GO:0005886(PANTHER)|GO:0016174(PANTHER)
   180 	g28971  	GO:0000124(InterPro)|GO:0000124(PANTHER)|GO:0003712(PANTHER)|GO:0003712(InterPro)|GO:0006357(PANTHER)
   181 	g16534  	GO:0016567(PANTHER)|GO:0031464(PANTHER)
   183 	g321    	GO:0005092(InterPro)|GO:0005093(PANTHER)|GO:0005737(PANTHER)|GO:0007264(InterPro)|GO:0016192(PANTHER)
   201 	g8711   	GO:0016020(PANTHER)
   202 	g12865  	GO:0003676(InterPro)
   208 	g36866  	GO:0004553(InterPro)|GO:0005975(InterPro)
   215 	g7895   	GO:0005506(InterPro)|GO:0016705(InterPro)
   229 	g30399  	GO:0009507(PANTHER)
   230 	g26219  	GO:0003676(InterPro)|GO:0004523(InterPro)
   232 	g24276  	GO:0005515(InterPro)
   235 	g18153  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
   241 	g23765  	GO:0005515(InterPro)
   242 	g25370  	GO:0005515(InterPro)
   252 	g28690  	GO:0005515(InterPro)
   259 	g36090  	GO:0000226(InterPro)|GO:0000278(PANTHER)|GO:0000922(InterPro)|GO:0000930(PANTHER)|GO:0005815(InterPro)|GO:0007020(InterPro)|GO:0007020(PANTHER)|GO:0031122(PANTHER)|GO:0043015(PANTHER)|GO:0043015(InterPro)|GO:0051011(PANTHER)|GO:0051225(PANTHER)|GO:0051321(PANTHER)
   261 	g11083  	GO:0003729(InterPro)|GO:0006402(InterPro)|GO:0032451(InterPro)
   262 	g2046   	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
   278 	g5703   	GO:0016020(InterPro)|GO:0016757(InterPro)
   280 	g36579  	GO:0005515(InterPro)
   283 	g21577  	GO:0005886(PANTHER)|GO:0009506(PANTHER)|GO:0098542(InterPro)
   284 	g2247   	GO:0005515(InterPro)
   292 	g21240  	GO:0005524(InterPro)|GO:0016887(InterPro)
   295 	g5070   	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
   301 	g25827  	GO:0004672(InterPro)|GO:0006468(InterPro)
   317 	g28912  	GO:0005515(InterPro)
   321 	g17151  	GO:0003677(InterPro)|GO:0006355(InterPro)
   325 	g26578  	GO:0005515(InterPro)
   330 	g36593  	GO:0003824(InterPro)
   334 	g33006  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
   338 	g8469   	GO:0008194(InterPro)
   341 	g33991  	GO:0030246(InterPro)
   354 	g16774  	GO:0005179(PANTHER)|GO:0005576(PANTHER)|GO:0048364(InterPro)|GO:1901371(PANTHER)|GO:1902025(PANTHER)|GO:2000280(PANTHER)
   355 	g2116   	GO:0004601(InterPro)
   375 	g5930   	GO:0016020(PANTHER)
   376 	g7087   	GO:0004672(InterPro)|GO:0006468(InterPro)
   381 	g33890  	GO:0005736(PANTHER)|GO:0006352(InterPro)|GO:0006362(PANTHER)
   382 	g26667  	GO:0003824(InterPro)|GO:0016616(InterPro)
   390 	g30226  	GO:0006482(InterPro)|GO:0051723(InterPro)
   395 	g846    	GO:0004185(InterPro)|GO:0006508(InterPro)
   403 	g5776   	GO:0016791(InterPro)|GO:0046856(InterPro)
   407 	g32867  	GO:0015079(InterPro)|GO:0016020(InterPro)|GO:0071805(InterPro)
   409 	g34198  	GO:0003700(PANTHER)|GO:0005516(InterPro)|GO:0005634(PANTHER)|GO:0043565(PANTHER)|GO:0080142(PANTHER)
   410 	g20668  	GO:0005085(InterPro)
   413 	g13994  	GO:0005515(InterPro)
   421 	g34534  	GO:0005515(InterPro)
   431 	g25099  	GO:0005783(PANTHER)|GO:0005794(PANTHER)|GO:0006612(PANTHER)|GO:0016409(InterPro)|GO:0018230(PANTHER)|GO:0019706(PANTHER)
   433 	g28271  	GO:0015098(InterPro)|GO:0015689(InterPro)
   436 	g6322   	GO:0016491(InterPro)
   437 	g17109  	GO:0003676(InterPro)|GO:0008270(InterPro)
   454 	g15917  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
   458 	g32891  	GO:0098542(InterPro)
   459 	g34554  	GO:0000062(PANTHER)|GO:0006631(PANTHER)
   466 	g29806  	GO:0046872(InterPro)
   467 	g33734  	GO:0009733(InterPro)
   469 	g6490   	GO:0005515(InterPro)
   470 	g11958  	GO:0005515(InterPro)
   477 	g36055  	GO:0005515(InterPro)
   491 	g16610  	GO:0140359(InterPro)
   500 	g16369  	GO:0005737(InterPro)|GO:0008676(InterPro)
   504 	g31983  	GO:0005794(PANTHER)|GO:0016413(InterPro)|GO:0016413(PANTHER)
   506 	g1480   	GO:0003755(InterPro)|GO:0006457(InterPro)
   515 	g29116  	GO:0003677(InterPro)|GO:0006355(InterPro)
   519 	g11062  	GO:0005227(InterPro)|GO:0005227(PANTHER)|GO:0005886(PANTHER)
   521 	g5774   	GO:0000977(PANTHER)|GO:0003682(PANTHER)|GO:0005634(PANTHER)|GO:0042393(PANTHER)|GO:0045944(PANTHER)
   522 	g20337  	GO:0006952(InterPro)
   528 	g450    	GO:0016491(InterPro)
   532 	g14435  	GO:0004024(PANTHER)|GO:0005829(PANTHER)|GO:0008270(PANTHER)|GO:0046294(PANTHER)|GO:0051903(PANTHER)
   535 	g11632  	GO:0015074(InterPro)
   537 	g22910  	GO:0004644(PANTHER)|GO:0005737(PANTHER)|GO:0006189(PANTHER)|GO:0009507(PANTHER)
   547 	g16658  	GO:0080043(PANTHER)|GO:0080044(PANTHER)
   549 	g27013  	GO:0016020(InterPro)|GO:0022857(InterPro)
   552 	g35071  	GO:0005783(PANTHER)|GO:0006644(PANTHER)|GO:0071618(PANTHER)
   556 	g25126  	GO:0004869(PANTHER)|GO:0004869(InterPro)
   560 	g27486  	GO:0005515(InterPro)
   576 	g7595   	GO:0015074(InterPro)
   580 	g35784  	GO:0015031(InterPro)
   582 	g23369  	GO:0004672(InterPro)|GO:0006468(InterPro)
   586 	g10695  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
   588 	g21691  	GO:0006402(InterPro)|GO:0030014(InterPro)
   590 	g33927  	GO:0030247(InterPro)
   593 	g35306  	GO:0005515(InterPro)
   619 	g36507  	GO:0005515(InterPro)
   624 	g8844   	GO:0003830(InterPro)|GO:0006044(PANTHER)|GO:0016020(InterPro)|GO:0016757(PANTHER)
   626 	g11166  	GO:0005743(PANTHER)|GO:0016020(InterPro)|GO:0032977(InterPro)|GO:0032977(PANTHER)|GO:0032979(PANTHER)|GO:0051205(PANTHER)
   631 	g36334  	GO:0050660(InterPro)|GO:0050661(InterPro)
   633 	g26889  	GO:0016020(PANTHER)
   642 	g33707  	GO:0005515(InterPro)
   653 	g31665  	GO:0030246(InterPro)
   660 	g22855  	GO:0003676(InterPro)|GO:0008270(InterPro)
   662 	g23708  	GO:0003676(InterPro)
   667 	g10233  	GO:0003690(InterPro)|GO:0007131(InterPro)
   669 	g32704  	GO:0003779(InterPro)
   672 	g5583   	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)
   674 	g18973  	GO:0005515(InterPro)
   676 	g25117  	GO:0000165(PANTHER)|GO:0004709(PANTHER)|GO:0005737(PANTHER)|GO:0006468(PANTHER)
   679 	g24895  	GO:0000290(PANTHER)|GO:0000290(InterPro)|GO:0000932(PANTHER)|GO:0003729(PANTHER)|GO:0008047(InterPro)|GO:0031087(PANTHER)|GO:0043085(InterPro)
   681 	g35781  	GO:0009765(InterPro)|GO:0016020(InterPro)
   682 	g27050  	GO:0000160(InterPro)
   687 	g3122   	GO:0008194(InterPro)
   690 	g15356  	GO:0009535(PANTHER)|GO:0009579(InterPro)
   691 	g27053  	GO:0004470(InterPro)|GO:0016616(InterPro)
   705 	g35974  	GO:0000159(InterPro)|GO:0019888(InterPro)
   727 	g5140   	GO:0005524(InterPro)|GO:0016887(InterPro)
   731 	g22606  	GO:0005515(InterPro)
   734 	g32212  	GO:0003676(InterPro)|GO:0008270(InterPro)
   735 	g17338  	GO:0004730(InterPro)
   740 	g8890   	GO:0016628(InterPro)
   741 	g21387  	GO:0006479(InterPro)|GO:0008276(InterPro)
   743 	g24028  	GO:0006629(InterPro)
   745 	g13010  	GO:0005515(InterPro)
   747 	g1535   	GO:0003690(PANTHER)|GO:0003712(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
   760 	g6164   	GO:0015267(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)
   767 	g12919  	GO:0000155(InterPro)|GO:0007165(InterPro)
   773 	g6252   	GO:0046983(InterPro)
   779 	g21898  	GO:0005737(InterPro)|GO:0006535(InterPro)|GO:0009001(InterPro)
   783 	g550    	GO:0000166(InterPro)
   791 	g31594  	GO:0046983(InterPro)
   796 	g36101  	GO:0004252(InterPro)|GO:0006465(InterPro)
   805 	g27725  	GO:0003924(InterPro)|GO:0005525(InterPro)
   811 	g23593  	GO:0048544(InterPro)
   812 	g2294   	GO:0005840(InterPro)
   816 	g7103   	GO:0030246(InterPro)
   818 	g24856  	GO:0005319(PANTHER)|GO:0005543(PANTHER)|GO:0009706(PANTHER)
   819 	g19257  	GO:0015074(InterPro)
   824 	g34809  	GO:0005515(InterPro)
   831 	g24584  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
   836 	g18573  	GO:0007165(InterPro)
   842 	g17015  	GO:0004470(PANTHER)|GO:0004473(PANTHER)|GO:0006090(PANTHER)|GO:0006108(PANTHER)|GO:0009507(PANTHER)
   852 	g10530  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
   866 	g13822  	GO:0003723(InterPro)
   870 	g24741  	GO:0006812(InterPro)|GO:0008324(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)
   873 	g14061  	GO:0003700(InterPro)|GO:0006352(InterPro)|GO:0006355(InterPro)
   883 	g15285  	GO:0005524(InterPro)
   885 	g30621  	GO:0006355(InterPro)
   886 	g11376  	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
   890 	g7652   	GO:0003777(InterPro)|GO:0005524(InterPro)|GO:0007018(InterPro)|GO:0008017(InterPro)
   899 	g17974  	GO:0016702(InterPro)|GO:0046872(InterPro)
   919 	g36751  	GO:0005634(PANTHER)|GO:0010485(InterPro)|GO:0010485(PANTHER)|GO:0043998(PANTHER)|GO:0043998(InterPro)|GO:1990189(PANTHER)
   920 	g33422  	GO:0005515(InterPro)
   926 	g6727   	GO:0016671(InterPro)
   928 	g21370  	GO:0009507(PANTHER)
   929 	g24719  	GO:0005783(PANTHER)|GO:0006629(InterPro)|GO:0006631(PANTHER)|GO:0016020(InterPro)|GO:0080132(InterPro)|GO:0080132(PANTHER)
   931 	g22504  	GO:0003676(InterPro)|GO:0004519(InterPro)|GO:0008270(InterPro)
   932 	g26437  	GO:0003697(PANTHER)|GO:0005737(PANTHER)|GO:0006302(PANTHER)|GO:0016605(PANTHER)|GO:0070260(PANTHER)
   934 	g2181   	GO:0046983(InterPro)
   940 	g16027  	GO:0005515(InterPro)
   952 	g3125   	GO:0005829(PANTHER)
   953 	g36759  	GO:0005509(InterPro)
   959 	g7421   	GO:0005524(InterPro)|GO:0140662(InterPro)
   961 	g17747  	GO:0005525(InterPro)
   970 	g9858   	GO:0045735(InterPro)
   976 	g25089  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
   982 	g4278   	GO:0006511(InterPro)|GO:0031625(InterPro)
   983 	g24071  	GO:0006952(InterPro)
   988 	g2059   	GO:0003676(InterPro)
   989 	g20280  	GO:0004672(InterPro)|GO:0006468(InterPro)
   994 	g24342  	GO:0016491(PANTHER)|GO:0020037(PANTHER)|GO:0140575(InterPro)
   995 	g7803   	GO:0005548(InterPro)|GO:0015914(InterPro)
  1000 	g942    	GO:0042138(InterPro)|GO:0042138(PANTHER)
  1001 	g16321  	GO:0000035(PANTHER)|GO:0000036(PANTHER)|GO:0005739(PANTHER)|GO:0006633(InterPro)
  1004 	g19712  	GO:0030247(InterPro)
  1005 	g4173   	GO:0003729(InterPro)|GO:0005685(InterPro)|GO:0006376(InterPro)
  1007 	g23911  	GO:0005515(InterPro)
  1011 	g15056  	GO:0016491(InterPro)
  1012 	g22474  	GO:0005737(PANTHER)
  1014 	g4443   	GO:0047262(InterPro)
  1016 	g21964  	GO:0005515(InterPro)
  1018 	g15649  	GO:0005515(InterPro)
  1020 	g21995  	GO:0004663(InterPro)|GO:0018344(InterPro)
  1025 	g29928  	GO:0016788(InterPro)
  1026 	g5790   	GO:0005737(PANTHER)|GO:0042732(PANTHER)|GO:0042732(InterPro)|GO:0048040(PANTHER)|GO:0070403(PANTHER)|GO:0070403(InterPro)
  1027 	g22156  	GO:0005515(InterPro)
  1030 	g4696   	GO:0008081(PANTHER)
  1033 	g10825  	GO:0004672(InterPro)|GO:0006468(InterPro)
  1039 	g4006   	GO:0004672(InterPro)|GO:0006468(InterPro)
  1041 	g12864  	GO:0003700(InterPro)|GO:0006355(InterPro)
  1047 	g15943  	GO:0003700(InterPro)|GO:0006355(InterPro)
  1054 	g36877  	GO:0000974(PANTHER)|GO:0006397(InterPro)|GO:0071011(PANTHER)|GO:0071013(PANTHER)
  1056 	g22402  	GO:0003700(PANTHER)|GO:0003700(InterPro)|GO:0005634(PANTHER)|GO:0043565(PANTHER)
  1057 	g23335  	GO:0007165(InterPro)
  1060 	g6139   	GO:0005515(InterPro)
  1070 	g26538  	GO:0006891(PANTHER)|GO:0007030(InterPro)|GO:0007030(PANTHER)|GO:0015031(InterPro)|GO:0016020(InterPro)|GO:0017119(PANTHER)
  1071 	g17402  	GO:0003676(InterPro)
  1072 	g29813  	GO:0000786(InterPro)|GO:0003677(InterPro)|GO:0006334(InterPro)|GO:0030527(InterPro)
  1077 	g6747   	GO:0005515(InterPro)
  1079 	g25235  	GO:0003690(InterPro)|GO:0006355(InterPro)
  1088 	g28950  	GO:0016791(InterPro)
  1091 	g26323  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  1096 	g10345  	GO:0004553(InterPro)|GO:0005975(InterPro)
  1107 	g25205  	GO:0005794(PANTHER)
  1108 	g1665   	GO:0005515(InterPro)
  1111 	g30892  	GO:0003677(InterPro)|GO:0006351(InterPro)
  1113 	g5522   	GO:0003989(InterPro)|GO:0006633(InterPro)|GO:0009317(InterPro)|GO:0016743(InterPro)
  1125 	g17995  	GO:0004553(InterPro)|GO:0005975(InterPro)
  1132 	g9830   	GO:0016020(InterPro)|GO:0016760(InterPro)|GO:0030244(InterPro)
  1133 	g14507  	GO:0016020(InterPro)
  1137 	g13892  	GO:0003777(InterPro)|GO:0005524(InterPro)|GO:0007018(InterPro)|GO:0008017(InterPro)
  1146 	g3195   	GO:0030145(InterPro)
  1151 	g5127   	GO:0005794(PANTHER)|GO:0016413(InterPro)|GO:0016413(PANTHER)
  1153 	g31570  	GO:0005739(PANTHER)|GO:0009107(PANTHER)|GO:0009107(InterPro)|GO:0016992(PANTHER)|GO:0016992(InterPro)|GO:0051539(InterPro)
  1162 	g32969  	GO:0016020(PANTHER)
  1169 	g24149  	GO:0004659(InterPro)|GO:0008299(InterPro)
  1172 	g95     	GO:0046872(InterPro)
  1174 	g12873  	GO:0003968(PANTHER)|GO:0003968(InterPro)|GO:0030422(PANTHER)|GO:0031380(PANTHER)
  1176 	g15750  	GO:0005739(PANTHER)|GO:0009055(PANTHER)|GO:0022900(PANTHER)|GO:0051537(InterPro)|GO:0140647(InterPro)
  1178 	g29882  	GO:0003924(InterPro)|GO:0005525(InterPro)
  1182 	g4530   	GO:0000145(InterPro)|GO:0005546(InterPro)|GO:0006887(InterPro)
  1184 	g34499  	GO:0004842(InterPro)|GO:0016567(InterPro)
  1188 	g36633  	GO:0005886(PANTHER)|GO:0008324(PANTHER)|GO:0015081(PANTHER)
  1190 	g3401   	GO:0030247(InterPro)
  1191 	g14819  	GO:0046983(InterPro)
  1196 	g34595  	GO:0005634(PANTHER)
  1197 	g28660  	GO:0016020(PANTHER)
  1198 	g3251   	GO:0030145(InterPro)
  1203 	g17981  	GO:0016702(InterPro)|GO:0046872(InterPro)
  1206 	g560    	GO:0032259(InterPro)
  1209 	g24607  	GO:0005789(PANTHER)|GO:0019915(PANTHER)|GO:0019915(InterPro)|GO:0034389(PANTHER)
  1211 	g15799  	GO:0005515(InterPro)
  1214 	g21604  	GO:0044389(PANTHER)
  1215 	g7066   	GO:0016491(InterPro)
  1216 	g20346  	GO:0043531(InterPro)
  1217 	g36100  	-
  1219 	g12698  	GO:0010088(InterPro)
  1220 	g34247  	GO:0004096(InterPro)|GO:0006979(InterPro)|GO:0020037(InterPro)
  1234 	g8752   	GO:0004478(InterPro)|GO:0006556(InterPro)
  1246 	g35711  	GO:0003700(InterPro)|GO:0006355(InterPro)
  1254 	g1782   	GO:0003993(InterPro)|GO:0046872(InterPro)
  1255 	g11455  	GO:0006801(InterPro)|GO:0046872(InterPro)
  1261 	g26560  	GO:0005515(InterPro)
  1266 	g23007  	GO:0000993(PANTHER)|GO:0006368(PANTHER)|GO:0008023(PANTHER)
  1267 	g20564  	GO:0005515(InterPro)
  1274 	g33391  	GO:0009507(PANTHER)
  1275 	g33313  	GO:0003677(InterPro)|GO:0046983(InterPro)
  1286 	g7383   	GO:0046872(InterPro)
  1288 	g18953  	GO:0016787(InterPro)
  1290 	g8951   	GO:0005524(InterPro)|GO:0016887(InterPro)
  1293 	g35180  	GO:0003677(InterPro)|GO:0006355(InterPro)
  1297 	g36743  	GO:0003677(InterPro)
  1299 	g18970  	GO:0033612(PANTHER)
  1310 	g2649   	GO:0016616(InterPro)
  1313 	g671    	GO:0080043(PANTHER)|GO:0080044(PANTHER)
  1316 	g15887  	GO:0016887(InterPro)
  1324 	g3398   	GO:0030247(InterPro)
  1325 	g137    	GO:0009134(PANTHER)|GO:0016020(PANTHER)|GO:0016787(InterPro)|GO:0017110(PANTHER)
  1327 	g15513  	GO:0046983(InterPro)
  1331 	g25090  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  1337 	g28979  	GO:0003723(InterPro)
  1340 	g28102  	GO:0000811(PANTHER)|GO:1902975(PANTHER)
  1341 	g13898  	GO:0006511(InterPro)
  1346 	g30714  	GO:0004857(InterPro)
  1350 	g35208  	GO:0030247(InterPro)
  1351 	g8340   	GO:0003723(InterPro)|GO:0033897(InterPro)
  1356 	g10887  	GO:0003723(InterPro)
  1358 	g24358  	GO:0003924(InterPro)|GO:0016151(InterPro)|GO:0043419(InterPro)
  1361 	g25156  	GO:0005506(InterPro)|GO:0016705(InterPro)
  1374 	g35486  	GO:0043169(InterPro)
  1376 	g5863   	GO:0003677(InterPro)
  1377 	g6262   	GO:0003924(InterPro)|GO:0005525(InterPro)
  1381 	g12585  	GO:0004402(InterPro)|GO:0005669(InterPro)|GO:0005669(PANTHER)|GO:0006366(InterPro)|GO:0016251(InterPro)|GO:0016251(PANTHER)|GO:0017025(PANTHER)|GO:0017025(InterPro)|GO:0051123(PANTHER)
  1391 	g22455  	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
  1395 	g28449  	GO:0000151(PANTHER)|GO:0031624(PANTHER)|GO:0032182(PANTHER)|GO:0045116(PANTHER)|GO:0097602(PANTHER)
  1396 	g29668  	GO:0030246(InterPro)
  1399 	g7217   	GO:0006631(PANTHER)|GO:0031956(PANTHER)
  1400 	g23129  	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)
  1401 	g13752  	GO:0000105(InterPro)|GO:0004424(InterPro)
  1407 	g29177  	GO:0043231(PANTHER)
  1408 	g29814  	GO:0046872(InterPro)
  1417 	g6149   	GO:0015074(InterPro)
  1423 	g27687  	GO:0005515(InterPro)
  1432 	g24150  	GO:0004659(InterPro)|GO:0008299(InterPro)
  1435 	g13124  	GO:0005515(InterPro)
  1450 	g30842  	GO:0005515(InterPro)
  1462 	g9184   	GO:0004672(InterPro)|GO:0006468(InterPro)
  1467 	g5371   	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
  1478 	g36318  	GO:0015297(InterPro)|GO:0016020(InterPro)|GO:0042910(InterPro)|GO:0055085(InterPro)
  1479 	g35696  	GO:0003682(InterPro)
  1480 	g394    	GO:0080043(PANTHER)|GO:0080044(PANTHER)
  1481 	g12511  	GO:0016491(InterPro)
  1485 	g19205  	GO:0005524(InterPro)|GO:0016887(InterPro)
  1489 	g6219   	GO:0016020(InterPro)|GO:0055085(InterPro)
  1492 	g13307  	GO:0003924(PANTHER)
  1494 	g16747  	GO:0016020(PANTHER)
  1495 	g29925  	GO:0016788(InterPro)
  1496 	g13547  	GO:0005509(InterPro)
  1499 	g8679   	GO:0006006(InterPro)|GO:0016614(InterPro)|GO:0050661(InterPro)
  1509 	g28692  	GO:0005515(InterPro)
  1514 	g4970   	GO:0003910(InterPro)|GO:0005524(InterPro)|GO:0071897(InterPro)
  1523 	g9642   	GO:0005524(InterPro)|GO:0140662(InterPro)
  1525 	g17123  	GO:0004842(PANTHER)
  1526 	g13606  	GO:0003723(InterPro)
  1531 	g24574  	GO:0016788(InterPro)
  1532 	g33518  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  1538 	g27810  	GO:0005576(InterPro)|GO:0019953(InterPro)
  1548 	g470    	GO:0006631(InterPro)|GO:0045300(InterPro)
  1552 	g2380   	GO:0003676(InterPro)
  1553 	g36167  	GO:0000166(InterPro)|GO:0004826(InterPro)|GO:0005524(InterPro)|GO:0005737(InterPro)|GO:0006432(InterPro)
  1560 	g22009  	GO:0046872(InterPro)
  1575 	g10517  	GO:0008270(InterPro)
  1578 	g34638  	GO:0003676(InterPro)|GO:0008270(InterPro)
  1582 	g13054  	GO:0005543(InterPro)
  1586 	g3980   	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  1592 	g10126  	GO:0006631(InterPro)|GO:0016491(InterPro)|GO:0016616(InterPro)
  1597 	g30116  	GO:0001522(InterPro)|GO:0042254(InterPro)
  1599 	g24678  	GO:0000462(PANTHER)|GO:0005730(PANTHER)
  1600 	g838    	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
  1604 	g31062  	GO:0000287(InterPro)|GO:0002189(PANTHER)|GO:0005737(PANTHER)|GO:0006015(PANTHER)|GO:0006164(PANTHER)|GO:0009165(InterPro)
  1605 	g35082  	GO:0006284(InterPro)|GO:0008725(InterPro)
  1607 	g1321   	GO:0006813(PANTHER)|GO:0015079(InterPro)|GO:0015079(PANTHER)|GO:0016020(PANTHER)|GO:0016020(InterPro)|GO:0071805(InterPro)
  1609 	g8441   	GO:0003993(PANTHER)|GO:0016791(InterPro)
  1611 	g25459  	GO:0005515(InterPro)
  1613 	g11463  	GO:0003700(InterPro)|GO:0006355(InterPro)
  1621 	g10111  	GO:0006508(InterPro)|GO:0008236(InterPro)|GO:0016020(InterPro)
  1630 	g10217  	GO:0015074(InterPro)
  1632 	g1087   	GO:0006511(PANTHER)|GO:0032183(PANTHER)|GO:0033768(PANTHER)|GO:0061630(InterPro)|GO:0140082(PANTHER)
  1633 	g3040   	GO:0005622(PANTHER)
  1634 	g11960  	GO:0005515(InterPro)
  1641 	g9560   	GO:0005509(InterPro)|GO:0005783(InterPro)|GO:0006457(InterPro)|GO:0051082(InterPro)
  1656 	g25815  	GO:0005634(PANTHER)
  1657 	g5375   	GO:0004722(InterPro)|GO:0006470(InterPro)
  1658 	g3929   	GO:0006952(InterPro)
  1660 	g26523  	GO:0005515(InterPro)
  1669 	g35612  	GO:0000287(InterPro)|GO:0004743(InterPro)|GO:0006096(InterPro)|GO:0030955(InterPro)
  1683 	g35246  	GO:0008237(InterPro)|GO:0008270(InterPro)
  1686 	g22557  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  1700 	g24271  	GO:0035251(PANTHER)
  1703 	g9707   	GO:0005515(InterPro)
  1709 	g2369   	GO:0009534(PANTHER)
  1710 	g8770   	GO:0005267(InterPro)|GO:0016020(InterPro)|GO:0071805(InterPro)
